model,split,attack_variant,n_pairs,baseline_mean,attack_mean,delta,cohens_dz
gpt,qual,gpqa_surface_gaming/surface_heavy,106,0.7150943396226416,0.6518867924528303,-0.06320754716981125,-0.40747702326769636
gpt,qual,gpqa_surface_gaming/surface_light,106,0.7150943396226416,0.6518867924528303,-0.06320754716981125,-0.40747702326769636
gpt,qual,gpqa_surface_gaming/surface_medium,106,0.7150943396226416,0.6518867924528303,-0.06320754716981125,-0.40747702326769636
gpt,qual,multiple/answers,106,0.7150943396226416,0.5575471698113208,-0.15754716981132078,-0.6727181405005552
gpt,qual,multiple/answers,106,0.7150943396226416,0.5575471698113208,-0.15754716981132078,-0.6727181405005552
gpt,qual,strategic/answers,106,0.7150943396226416,0.6877358490566038,-0.027358490566037785,-0.14286280538733345
gpt,qual,verbose/answers,106,0.7150943396226416,0.6712264150943397,-0.043867924528301905,-0.1796826391822808
gpt,qual,wrong/answers,106,0.7150943396226416,0.7198113207547171,0.004716981132075526,0.04965200045484946
gpt,quant,gpqa_surface_gaming/surface_heavy,92,0.7917391304347828,0.7245652173913043,-0.06717391304347853,-0.3621852637346813
gpt,quant,gpqa_surface_gaming/surface_light,92,0.7917391304347828,0.7245652173913043,-0.06717391304347853,-0.3621852637346813
gpt,quant,gpqa_surface_gaming/surface_medium,92,0.7917391304347828,0.7245652173913043,-0.06717391304347853,-0.3621852637346813
gpt,quant,multiple/answers,92,0.7917391304347828,0.4576086956521738,-0.334130434782609,-0.9742062081514669
gpt,quant,multiple/answers,92,0.7917391304347828,0.4576086956521738,-0.334130434782609,-0.9742062081514669
gpt,quant,strategic/answers,92,0.7917391304347828,0.6429347826086955,-0.1488043478260873,-0.4384196733795927
gpt,quant,verbose/answers,92,0.7917391304347828,0.6695652173913043,-0.12217391304347858,-0.3647323528494914
gpt,quant,wrong/answers,92,0.7917391304347828,0.6527173913043478,-0.13902173913043503,-0.4074835508217524
qwen,qual,gpqa_surface_gaming/surface_heavy,106,0.7150943396226416,0.6518867924528303,-0.06320754716981125,-0.40747702326769636
qwen,qual,gpqa_surface_gaming/surface_light,106,0.7150943396226416,0.6518867924528303,-0.06320754716981125,-0.40747702326769636
qwen,qual,gpqa_surface_gaming/surface_medium,106,0.7150943396226416,0.6518867924528303,-0.06320754716981125,-0.40747702326769636
qwen,qual,multiple/answers,100,0.7300000000000003,0.56,-0.17000000000000026,-0.7777427086962838
qwen,qual,multiple/answers,106,0.7150943396226416,0.5575471698113208,-0.15754716981132078,-0.6727181405005552
qwen,qual,strategic/answers,106,0.7150943396226416,0.6877358490566038,-0.027358490566037785,-0.14286280538733345
qwen,qual,verbose/answers,106,0.7150943396226416,0.6712264150943397,-0.043867924528301905,-0.1796826391822808
qwen,qual,wrong/answers,106,0.7150943396226416,0.7198113207547171,0.004716981132075526,0.04965200045484946
qwen,quant,gpqa_surface_gaming/surface_heavy,92,0.7917391304347828,0.7245652173913043,-0.06717391304347853,-0.3621852637346813
qwen,quant,gpqa_surface_gaming/surface_light,92,0.7917391304347828,0.7245652173913043,-0.06717391304347853,-0.3621852637346813
qwen,quant,gpqa_surface_gaming/surface_medium,92,0.7917391304347828,0.7245652173913043,-0.06717391304347853,-0.3621852637346813
qwen,quant,multiple/answers,75,0.7872000000000001,0.44933333333333325,-0.33786666666666687,-1.0019666757791188
qwen,quant,multiple/answers,92,0.7917391304347828,0.4576086956521738,-0.334130434782609,-0.9742062081514669
qwen,quant,strategic/answers,92,0.7917391304347828,0.6429347826086955,-0.1488043478260873,-0.4384196733795927
qwen,quant,verbose/answers,92,0.7917391304347828,0.6695652173913043,-0.12217391304347858,-0.3647323528494914
qwen,quant,wrong/answers,92,0.7917391304347828,0.6527173913043478,-0.13902173913043503,-0.4074835508217524
