,judge,question,reference,answer,score
0,google-gemma,"The emission spectrum of the doubly ionized lithium atom Li++ (Z = 3, A = 7) is identical to that of a hydrogen atom in which all the wavelengths are",decreased by a factor of 9,,0.0
1,google-gemma,"The atomic radius of hydrogen is 0.037 nm, Compare this figure with the length of the first Bohr radius. Explain any differences.",The atomic radius of hydrogen is smaller than the first Bohr radius,,0.9
2,google-gemma,An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it,decreases.,,0.9
3,google-gemma,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.","Shareholders, Care and Skill, Diligence",,0.0
4,google-gemma,"Tired after a long, hard day at school, Cyrus decides to take a nap. An hour later, his Dad wakes him to let him know it's time for dinner. Cyrus feels worse than when he went to bed and can hardly drag himself to the table. An EEG of Cyrus right before he was awoken would most likely have shown a preponderance of",delta waves.,,0.0
5,google-gemma,How are antibody producing cells stimulated?,Interacting with a T helper cell.,,0.9
6,google-gemma,"A grocery store is sued by a customer for damages for injuries allegedly suffered to the face and forearms, which resulted from his collision with the store's automatic doors. The customer contended that at the time of the mishap, the doors were programmed to swing outward, taking would-be customers entering the store, by surprise. At trial, the customer testified to both the nature of his injuries and the events leading up to their occurrence. The grocery store denied that the doors to its store were in any way unsafe or that the customer's injuries were caused by his encounter with the doors. The customer's sister testified at trial that she accompanied her brother to the store the day of the accident and witnessed the outward swinging doors, which struck him. She further alleged that when she returned to the store the following week, the doors had been re-programmed to swing inward. The trial judge should rule the sister's testimony","s negligence.""",,0.9
7,google-gemma,Clovis points are NOT found in:,Alaska.,,0.9
8,google-gemma,"In order to find the market supply curve for a particular good, one would",aggregate the firm supply curves horizontally,,0.0
9,google-gemma,Why do economists use per capita figures so often when discussing growth?,"s government""",,0.2
10,google-gemma,"A talk show host recently reported that in response to his on-air question, 82% of the more than 2500 e-mail messages received through his publicized address supported the death penalty for anyone convicted of selling drugs to children. What does this show?",The survey would have been more meaningful if he had included listeners who disagreed with his viewpoint.,,0.0
11,google-gemma,"After a party where the adults all drank alcohol, with everyone having at least six beers, they started up a game of baseball. The host supplied the bats, balls and gloves. An argument arose at home plate after a controversial call by the umpire, who was inebriated like all of the other participants. The host of the party became enraged at the umpire's decision and hit him in the face, breaking his nose. The umpire pressed charges when he became sober, and the authorities charged the host with criminal battery. At trial, the defense raised the defense of voluntary intoxication, arguing that the host lacked the mentality to form an intent to commit a criminal battery. Will the defense of voluntary intoxication be successful under these facts?","No, criminal battery in this case is a general intent crime and the defense of voluntary intoxication is not available.",,0.9
12,google-gemma,For years you work as a grocery checker at a supermarket and one day you are replaced by self-serve checkout stations. What type of unemployment is this?,Structural,,0.9
13,google-gemma,In the phrase 'Y2K' what does 'K' stand for?,thousand,,0.9
14,google-gemma,"A defendant was on the first day of her new secretarial job when her boss called her into his office. The boss directly suggested that if the defendant did not go out on a date with him, she would be fired in one week. Every day during the remainder of the week, the boss approached the defendant with his demand, and the defendant refused to cooperate. At the end of the week, when the boss called the defendant into his office and again tried to pressure her to go out on a date with him, the defendant knocked him unconscious with a giant stapler and choked him to death. The defendant is tried for murder. In accordance with the following statute, the state relies at trial on the presumption of malice:""When the act of killing another is proved, malice aforethought shall be presumed, and the burden shall rest upon the party who committed the killing to show that malice did not exist. ""If the defendant is convicted of first-degree murder and challenges her conviction on the grounds of the above statute, on appeal she will","win, because the statute violates due process.",,0.9
15,google-gemma,"Conflict models emphasize the importance of __________ tensions in the development of state societies, while integration models emphasize ____________ tensions.",internal; external,,0.9
16,google-gemma,Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is,less effective in X because the policy will decrease net exports.,,0.9
17,google-gemma,"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?",The referendum procedure as a basic instrument of the democratic process does not violate the due process clause of the Fourteenth Amendment.,,0.8
18,google-gemma,Why does theelectronegativityof the halogens decrease with increasing atomic number?,Ionization potentials decrease with increasing atomic number,,0.9
19,google-gemma,The Intelligence Quotient is defined as the,mental age/chronological age × 100,,0.0
20,google-gemma,"Eosinophilic oesophagitis
",May cause oesopgageal obstruction,,0.7
21,google-gemma,What sport is featured in the 1996 movie 'Kingpin'?,bowling,,0.9
22,google-gemma,What is higher-order (second-order)conditioning ?,Higher-order conditioning is based on secondary reinforcement. A neutral stimulus is paired with the conditioned stimulus after that conditioned stimulus can reliably elicit the conditioned response.,,0.9
23,google-gemma,A motor and a generator are,similar devices,,0.9
24,google-gemma,The most automatic of the proposed memory systems is ___________.,Episodic memory,,0.2
25,google-gemma,Most discussions of growth focus on the supply aspect of growth. Explain how unemployment due to lack of demand for goods can affect growth.,"Unemployment can depress growth by reducing investment and capital accumulation, slowing the introduction of new technology, and leading to a lack of skilled personnel.",,0.0
26,google-gemma,Is the achievement of full employment sufficient for the maintenance of growth?,"No, full employment is not sufficient for the maintenance of growth",,0.9
27,google-gemma,After World War II there was much speculation about the personalities of those who had committed atrocities. What do the findings of Milgram's studies imply about the personalities of Nazi war criminals?,Individuals involved in the atrocities of the German concentration camps were likely of a personality structure not unlike the average citizen in America today,,0.1
28,google-gemma,"Neoclassical economists developed a production function in which all the factors of production (land, capital, labor) received the value of their marginal product; that is, the interest paid to capital equals the contribution capital makes to the product, wages paid to labor equals the value of the marginal product of labor, etc. Some economists suggested that this result showed that the distribution of free, competitive capitalism is morally right and just. Whatis wrong with this suggestion?",Assumes that ownership of resources means the owner is entitled to all the benefits,,0.9
29,google-gemma,The head of the sixth rib articulates with,The inferior articular demifacet of T5 and the superior articular demifacet of T6.,,0.0
30,google-gemma,"This question refers to the following information.
""His Majesty the Emperor of China agrees, that British subjects, with their families and establishments, shall be allowed to reside, for the purposes of carrying on their mercantile pursuits, without molestation or restraint, at the cities and towns of Canton, Amoy, Foochowfoo, Ningpo, and Shanghai; and Her Majesty the Queen of Great Britain, &c., will appoint Superintendents, or Consular officers, to reside at each of the above-named cities or towns, to be the medium of communication between the Chinese authorities and the said merchants, and to see that the just duties and other dues of the Chinese Government, as hereafter provided for, are duly discharged by Her Britannic Majesty's subjects.""
Treaty of Nanjing, 1839
The concessions offered in this treaty most directly created British",spheres of influence,,0.9
31,google-gemma,What is the meaning of justiciability?,Justiciability refers to the political implications of a particular right,,0.9
32,google-gemma,A classically conditioned response can best be eliminated by presentation of,the conditioned stimulus without the unconditioned stimulus,,0.9
33,google-gemma,Epicurus conceives of death as:,the deprivation of all sensation.,,0.9
34,google-gemma,Examination of a patient indicates that they have a medially directed strabismus (squint). This could be due to damage to the,abducens nerve.,,0.9
35,google-gemma," Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∀x){Ax ⊃ (∀y)[(Hy • Ly) ⊃ ∼Bxy]}",No apartment is bigger than any large house.,,0.0
36,google-gemma,What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights,,0.9
37,google-gemma,How does face validity differ from content validity?,"s ability to predict future performance.""",,0.9
38,google-gemma,"Even if the United States is at a comparative disadvantage in agriculture, why might it still be more efficient for the United States to specialize in agricultural production?",Due to decreasing costs (increasing returns to scale),,0.9
39,google-gemma,"Antonia has a cat. The first time she sees a rabbit, she calls it a cat. Her mistake is due to the process of",assimilation.,,0.9
40,google-gemma,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?",The traits for black and white color demonstrate incomplete dominance.,,0.0
41,google-gemma,"What is the difference between ""caveat emptor"" and ""ceteris paribus""",'Caveat emptor' is 'Let the buyer beware' and 'Ceteris paribus' is 'all other things being equal',,0.9
42,google-gemma,"""Each term must be used twice, no more and no less"" is a requirement for",valid categorical syllogism,,0.0
43,google-gemma,The Yang-shao culture gave way to the Lung-Shan sometime after:,"5,000 B.P.",,0.9
44,google-gemma, Where is the key to liberation found within Sikhism?,In the life of the householder,,0.9
45,google-gemma," Which of the given formulas of PL is the best symbolization of the following sentence?
If either George enrolls or Harry enrolls, then Ira does not enroll.",(G ∨ H) ⊃ ~I,,0.9
46,google-gemma,Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.,"False, True",,0.0
47,google-gemma,Why is the timing of monumental construction at Ceibal significant?,It contradicts the hypothesis that the monumental construction of the Maya was largely inspired by the Olmec.,,0.9
48,google-gemma,"What makes a piece of material to be learnedmeaningful, andhow does its meaningfulness affect the rate of learning?","s prior knowledge or experiences""",,0.9
