model,split,attack_variant,n_pairs,baseline_mean,attack_mean,delta,cohens_dz
gpt,qual,gpqa_surface_gaming/surface_heavy,106,0.4924528301886792,0.44811320754716977,-0.044339622641509424,-0.3227589038872365
gpt,qual,gpqa_surface_gaming/surface_light,106,0.4924528301886792,0.44811320754716977,-0.044339622641509424,-0.3227589038872365
gpt,qual,gpqa_surface_gaming/surface_medium,106,0.4924528301886792,0.44811320754716977,-0.044339622641509424,-0.3227589038872365
gpt,qual,multiple/answers,106,0.4924528301886792,0.24056603773584906,-0.25188679245283013,-0.8601363207624867
gpt,qual,multiple/answers,106,0.4924528301886792,0.24056603773584906,-0.25188679245283013,-0.8601363207624867
gpt,qual,strategic/answers,106,0.4924528301886792,0.4198113207547169,-0.0726415094339623,-0.305652520971915
gpt,qual,verbose/answers,106,0.4924528301886792,0.4490566037735847,-0.043396226415094497,-0.17282447393080283
gpt,qual,wrong/answers,106,0.4924528301886792,0.48113207547169806,-0.01132075471698113,-0.09328396347969914
gpt,quant,gpqa_surface_gaming/surface_heavy,92,0.6141304347826086,0.6391304347826087,0.025000000000000022,0.1633112808202233
gpt,quant,gpqa_surface_gaming/surface_light,92,0.6141304347826086,0.6391304347826087,0.025000000000000022,0.1633112808202233
gpt,quant,gpqa_surface_gaming/surface_medium,92,0.6141304347826086,0.6391304347826087,0.025000000000000022,0.1633112808202233
gpt,quant,multiple/answers,92,0.6141304347826086,0.19021739130434787,-0.42391304347826075,-1.2144588058370698
gpt,quant,multiple/answers,92,0.6141304347826086,0.19021739130434787,-0.42391304347826075,-1.2144588058370698
gpt,quant,strategic/answers,92,0.6141304347826086,0.37717391304347814,-0.2369565217391305,-0.6731992877883306
gpt,quant,verbose/answers,92,0.6141304347826086,0.5152173913043477,-0.09891304347826091,-0.26322342400335713
qwen,qual,gpqa_surface_gaming/surface_heavy,106,0.4924528301886792,0.44811320754716977,-0.044339622641509424,-0.3227589038872365
qwen,qual,gpqa_surface_gaming/surface_light,106,0.4924528301886792,0.44811320754716977,-0.044339622641509424,-0.3227589038872365
qwen,qual,gpqa_surface_gaming/surface_medium,106,0.4924528301886792,0.44811320754716977,-0.044339622641509424,-0.3227589038872365
qwen,qual,multiple/answers,100,0.4909999999999999,0.23700000000000002,-0.2539999999999999,-0.9032642250654408
qwen,qual,multiple/answers,106,0.4924528301886792,0.24056603773584906,-0.25188679245283013,-0.8601363207624867
qwen,qual,strategic/answers,106,0.4924528301886792,0.4198113207547169,-0.0726415094339623,-0.305652520971915
qwen,qual,verbose/answers,106,0.4924528301886792,0.4490566037735847,-0.043396226415094497,-0.17282447393080283
qwen,quant,gpqa_surface_gaming/surface_heavy,92,0.6141304347826086,0.6391304347826087,0.025000000000000022,0.1633112808202233
qwen,quant,gpqa_surface_gaming/surface_light,92,0.6141304347826086,0.6391304347826087,0.025000000000000022,0.1633112808202233
qwen,quant,gpqa_surface_gaming/surface_medium,92,0.6141304347826086,0.6391304347826087,0.025000000000000022,0.1633112808202233
qwen,quant,multiple/answers,75,0.5893333333333333,0.17600000000000002,-0.4133333333333332,-1.1531934236994972
qwen,quant,multiple/answers,92,0.6141304347826086,0.19021739130434787,-0.42391304347826075,-1.2144588058370698
qwen,quant,strategic/answers,92,0.6141304347826086,0.37717391304347814,-0.2369565217391305,-0.6731992877883306
qwen,quant,verbose/answers,92,0.6141304347826086,0.5152173913043477,-0.09891304347826091,-0.26322342400335713
