model,split,attack_variant,n_pairs,baseline_acc,attack_acc,delta,flips_up,flips_down,flips_same,ASR_cond_on_base_incorrect,mcnemar_p,mcnemar_chi2,cohens_dz,ztest_p,ztest_z
gpt,qual,backward,100,0.17,0.16,-0.010000000000000009,11,12,77,0.13253012048192772,1.0,0.0,-0.020751433915982248,0.8489156892215555,0.19050211089414779
gpt,qual,forward,106,0.18867924528301888,0.2169811320754717,0.028301886792452824,12,9,85,0.13953488372093023,0.6625205835400574,0.19047619047619047,0.06341326653315804,0.6083690402645581,-0.5124029307597857
gpt,qual,gpt_qual_wrong_matches.csv,106,0.18867924528301888,0.0660377358490566,-0.12264150943396228,3,16,87,0.03488372093023256,0.005905391532593285,7.578947368421052,-0.3012221360927534,0.007401828272260769,2.6782032732361403
gpt,qual,strategic,106,0.18867924528301888,0.22641509433962265,0.037735849056603765,10,6,90,0.11627906976744186,0.4532547047537364,0.5625,0.09712858623572636,0.49815046657046747,-0.677402730194128
gpt,qual,surface_gaming,100,0.17,0.19,0.01999999999999999,9,7,84,0.10843373493975904,0.8025873486341525,0.0625,0.0498116754136898,0.7127948779904187,-0.36810508691615496
gpt,qual,surface_heavy,106,0.18867924528301888,0.18867924528301888,0.0,9,9,88,0.10465116279069768,0.813663715766792,0.05555555555555555,0.0,1.0,0.0
gpt,qual,surface_light,106,0.18867924528301888,0.16981132075471697,-0.01886792452830191,8,10,88,0.09302325581395349,0.813663715766792,0.05555555555555555,-0.04561821004467802,0.7202517057751228,0.35812241432485564
gpt,quant,backward,75,0.36,0.16,-0.19999999999999998,7,22,46,0.14583333333333334,0.009329584719771522,6.758620689655173,-0.3374109569147894,0.0052354552292159795,2.792177966437275
gpt,quant,forward,92,0.42391304347826086,0.17391304347826086,-0.25,7,30,55,0.1320754716981132,0.0002982932471420341,13.08108108108108,-0.42661458015403086,0.00021230073318956322,3.7039110426656134
gpt,quant,gpt_quant_wrong_matches.csv,92,0.42391304347826086,0.043478260869565216,-0.3804347826086957,1,36,55,0.018867924528301886,2.2763840035189276e-08,31.243243243243242,-0.7457035519143184,1.0791656457342924e-09,6.097238338414746
gpt,quant,strategic,92,0.42391304347826086,0.18478260869565216,-0.2391304347826087,4,26,62,0.07547169811320754,0.00012604645012082027,14.7,-0.458630923994561,0.0004238271173790942,3.5247846945391066
gpt,quant,surface_gaming,75,0.36,0.09333333333333334,-0.26666666666666666,2,22,51,0.041666666666666664,0.0001051635540336715,15.041666666666666,-0.5309470424672896,9.604092662174324e-05,3.9003822561925783
gpt,quant,surface_heavy,92,0.42391304347826086,0.10869565217391304,-0.31521739130434784,4,33,55,0.07547169811320754,4.1610501283484425e-06,21.18918918918919,-0.5697055853856234,1.320654257064291e-06,4.836620197591711
gpt,quant,surface_light,92,0.42391304347826086,0.11956521739130435,-0.30434782608695654,3,31,58,0.05660377358490566,3.6485109408124217e-06,21.441176470588236,-0.5751829583050584,3.4820099039656327e-06,4.640123518685329
qwen,qual,forward,106,0.2358490566037736,0.16037735849056603,-0.07547169811320756,5,13,88,0.06172839506172839,0.09896015401940583,2.7222222222222223,-0.18541772388104358,0.16804696893908044,1.3785064787823156
qwen,qual,qwen_qual_wrong_matches.csv,106,0.2358490566037736,0.09433962264150944,-0.14150943396226415,8,23,75,0.09876543209876543,0.011921001496913997,6.32258064516129,-0.2698368827942076,0.005522823363020457,2.774843755826514
qwen,qual,strategic,106,0.2358490566037736,0.14150943396226415,-0.09433962264150944,3,13,90,0.037037037037037035,0.024448945310089454,5.0625,-0.2491295671162289,0.07919255824809901,1.7553903693586819
qwen,qual,surface_gaming,100,0.23,0.19,-0.04000000000000001,2,6,92,0.025974025974025976,0.2888443663464848,1.125,-0.14214106244380295,0.48741927581744404,0.6944193284588148
qwen,qual,surface_heavy,106,0.2358490566037736,0.18867924528301888,-0.047169811320754707,2,7,97,0.024691358024691357,0.18242243945173564,1.7777777777777777,-0.16326904942751608,0.4010231663210395,0.8397953050344771
qwen,qual,surface_light,106,0.2358490566037736,0.16981132075471697,-0.06603773584905662,1,8,97,0.012345679012345678,0.04550026389635853,4.0,-0.23158768812649633,0.23185002158997747,1.1956068384395004
qwen,quant,forward,92,0.13043478260869565,0.11956521739130435,-0.010869565217391297,6,7,79,0.075,1.0,0.0,-0.02877019661398239,0.8236045531753553,0.222911285030141
qwen,quant,qwen_quant_wrong_matches.csv,92,0.13043478260869565,0.14130434782608695,0.010869565217391297,13,12,67,0.1625,1.0,0.0,0.02074231841634805,0.8296507605246934,-0.21514950191924817
qwen,quant,strategic,92,0.13043478260869565,0.14130434782608695,0.010869565217391297,7,6,79,0.0875,1.0,0.0,0.028770196613982387,0.8296507605246934,-0.21514950191924817
qwen,quant,surface_gaming,75,0.10666666666666667,0.09333333333333334,-0.013333333333333336,0,1,74,0.0,1.0,0.0,-0.11547005383792507,0.7854947471183542,0.27216552697590873
qwen,quant,surface_heavy,92,0.13043478260869565,0.10869565217391304,-0.021739130434782608,1,3,88,0.0125,0.6170750774519738,0.25,-0.10425720702853743,0.6495170559300849,0.4544332072404846
qwen,quant,surface_light,92,0.13043478260869565,0.11956521739130435,-0.010869565217391297,1,2,89,0.0125,1.0,0.0,-0.05997364375010101,0.8236045531753553,0.222911285030141
